Distance (m),Ca(mol/kgw),Mg(mol/kgw),Na(mol/kgw),Sr(mol/kgw),Cl(mol/kgw),S(6)(mol/kgw),Fe(mol/kgw)
0.0423 m,0.0189,0.0145,0.0890,1.56e-4,0.105,0.0246,3.76e-6
0.127 m,0.0201,0.0154,0.0947,1.66e-4,0.112,0.0262,4.00e-6
0.212 m,0.0215,0.0164,0.101,1.77e-4,0.119,0.0280,4.27e-6
0.296 m,0.0217,0.0176,0.108,1.85e-4,0.128,0.0287,4.57e-6
0.381 m,0.0220,0.0189,0.117,1.87e-4,0.138,0.0295,4.92e-6
0.466 m,0.0224,0.0205,0.126,1.90e-4,0.149,0.0304,5.32e-6
0.550 m,0.0227,0.0223,0.137,1.93e-4,0.162,0.0315,5.78e-6
0.635 m,0.0231,0.0243,0.150,1.97e-4,0.177,0.0327,6.33e-6
0.720 m,0.0236,0.0268,0.165,2.01e-4,0.195,0.0341,6.97e-6
0.804 m,0.0241,0.0299,0.184,2.05e-4,0.217,0.0358,7.76e-6
0.889 m,0.0247,0.0336,0.207,2.10e-4,0.244,0.0378,8.72e-6
