Time (s),Gypsum (mol)
1.026E2,4.577E-2
1.066E2,4.888E-2
1.105E2,5.200E-2
1.144E2,5.512E-2
1.184E2,5.825E-2
1.223E2,6.137E-2
1.263E2,6.450E-2
1.302E2,6.764E-2
1.342E2,7.077E-2
1.381E2,7.390E-2
1.421E2,7.704E-2
1.460E2,8.018E-2
1.500E2,8.331E-2
1.539E2,8.645E-2
1.579E2,8.959E-2
1.618E2,9.273E-2
1.657E2,9.586E-2
1.697E2,9.900E-2
1.736E2,1.021E-1
1.776E2,1.053E-1
1.815E2,1.084E-1
1.855E2,1.116E-1
1.894E2,1.147E-1
1.934E2,1.178E-1
1.973E2,1.210E-1
2.013E2,1.241E-1
4.736E1,2.095E-3
5.130E1,5.240E-3
5.525E1,8.382E-3
5.919E1,1.152E-2
6.314E1,1.466E-2
6.709E1,1.778E-2
7.103E1,2.091E-2
7.498E1,2.402E-2
7.893E1,2.713E-2
8.287E1,3.024E-2
8.682E1,3.334E-2
9.077E1,3.645E-2
9.471E1,3.955E-2
9.866E1,4.266E-2
