Distance (m),Mn(mol/kgw) (mol),Fe(mol/kgw) (mol),B(mol/kgw) (mol),Cl(mol/kgw) (mol),Na(mol/kgw) (mol),S(6)(mol/kgw) (mol),Ca(mol/kgw) (mol),K(mol/kgw) (mol),Mg(mol/kgw) (mol),Sr(mol/kgw) (mol),Ba(mol/kgw) (mol),Li(mol/kgw) (mol)
4.23E-2,5.751E-17,1.161E-15,1.284E-12,7.210E-9,7.373E-9,1.021E-9,1.994E-10,7.949E-11,6.993E-10,9.781E-13,8.271E-16,3.392E-13
1.27E-1,5.447E-17,1.100E-15,1.216E-12,6.829E-9,6.984E-9,9.671E-10,1.889E-10,7.529E-11,6.623E-10,9.264E-13,7.833E-16,3.212E-13
2.12E-1,5.144E-17,1.039E-15,1.148E-12,6.449E-9,6.595E-9,9.133E-10,1.784E-10,7.110E-11,6.255E-10,8.749E-13,7.398E-16,3.034E-13
2.96E-1,4.842E-17,9.778E-16,1.081E-12,6.071E-9,6.208E-9,8.597E-10,1.679E-10,6.693E-11,5.888E-10,8.235E-13,6.963E-16,2.856E-13
3.81E-1,4.541E-17,9.170E-16,1.014E-12,5.693E-9,5.822E-9,8.063E-10,1.575E-10,6.277E-11,5.522E-10,7.723E-13,6.531E-16,2.678E-13
4.66E-1,4.241E-17,8.564E-16,9.467E-13,5.317E-9,5.438E-9,7.530E-10,1.470E-10,5.862E-11,5.157E-10,7.213E-13,6.099E-16,2.501E-13
5.50E-1,3.942E-17,7.960E-16,8.800E-13,4.942E-9,5.054E-9,6.999E-10,1.367E-10,5.449E-11,4.793E-10,6.705E-13,5.669E-16,2.325E-13
6.35E-1,3.644E-17,7.359E-16,8.135E-13,4.569E-9,4.672E-9,6.470E-10,1.264E-10,5.037E-11,4.431E-10,6.198E-13,5.241E-16,2.149E-13
7.20E-1,3.347E-17,6.759E-16,7.472E-13,4.196E-9,4.291E-9,5.943E-10,1.161E-10,4.626E-11,4.070E-10,5.693E-13,4.814E-16,1.974E-13
8.04E-1,3.051E-17,6.161E-16,6.811E-13,3.825E-9,3.912E-9,5.417E-10,1.058E-10,4.217E-11,3.710E-10,5.189E-13,4.388E-16,1.799E-13
8.89E-1,2.756E-17,5.565E-16,6.152E-13,3.455E-9,3.534E-9,4.893E-10,9.556E-11,3.809E-11,3.351E-10,4.687E-13,3.963E-16,1.625E-13
